0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
2795,"ULHAS CREEK AT
GAIMUKH AT NAGLA
BUNDER ON GHOD
BUNDER ROAD, NAGLA,
THANE",CREEK,MAHARASHTRA,24,32,3.6,,6.5,,6.6,7.9,115,39390,4.0,12.0,0.10,,7.40,,17,920,58,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796,"ULHAS CREEK AT VERSOVA
BRIDGE, VERSOVA, VASAI,
THANE",CREEK,MAHARASHTRA,24,35,3.9,,5.9,,6.6,7.9,184,53480,5.0,13.0,0.80,,4.60,,17,79,140,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797,"BHAYANDER CREEK AT D/S
OF RAILWAY BRIDGE,
JASAL PARK CHOUPATHY,
NAVGHAR, BHAYANDER,
THANE",CREEK,MAHARASHTRA,24,35,3.6,,5.7,,6.8,8.1,191,58050,6.0,14.0,1.00,,4.90,,5,280,170,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798,"KHAREKURAN MURBE
CREEK, KHAREKURAN,
PALGHAR, THANE",CREEK,MAHARASHTRA,22,35,BDL,,4.6,,6.3,7.9,14540,66760,8.0,60.0,0.80,,3.60,,21,130,140,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799,"DANDI CREEK, DANDI,
PALGHAR, THANE",CREEK,MAHARASHTRA,22,35,BDL,,6.7,,6.5,8.0,103,67690,4.0,55.0,0.30,,3.10,,17,350,70,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800,"SARAWALI CREEK,
SARAWALI, PALGHAR,
THANE",CREEK,MAHARASHTRA,22,35,3.4,,6.8,,6.5,8.6,101,57800,4.0,14.0,0.30,,4.50,,13,110,84,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801,"SAVTA CREEK, SAVTA,
DAHANU, THANE",CREEK,MAHARASHTRA,25,30,3.4,,5.4,,7.1,8.1,1256,66530,6.0,16.0,0.40,,1.70,,17,70,140,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802,"DAHANU CREEK AT
DAHANU FORT,
DANUGAON, DAHANU,
THANE",CREEK,MAHARASHTRA,25,30,3.8,,7.2,,7.3,7.9,68,66540,3.0,15.0,0.10,,1.70,,8,94,33,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Station
code",Station Name,"Type of
Water Body",State Name,"Temperature
(°C)",,,"Dissolved
Oxygen
(mg/L)",,,pH,,"Conductivity
(µmhos/cm)",,"BOD
(mg/L)",,,"Nitrate N +
Nitrite N
(mg/L)",,,"Fecal Coliform
(MPN/100 ML)",,"Total Coliform
(MPN/100 ML)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Min Max,,Min Max,,,,Min Max,,Min Max,,Min Max,,Min Max,,,,Min Max,,Min Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803,"PANVEL CREEK AT KOPRA
BRIDGE, KOPRA, PANVEL,
RAIGAD",CREEK,MAHARASHTRA,28,29,4.5,,7.1,,6.5,8.7,92,23840,3.0,11.0,0.10,,2.80,,17,79,33,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804,"KARAMBAVANE CREEK AT
CHIPLUN, KARAMBAVANE,
RATNAGIRI",CREEK,MAHARASHTRA,26,31,3.4,,7.1,,6.8,7.9,75,55880,1.8,14.0,0.23,,3.82,,4,920,40,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2439,PURI,CREEK,ODISHA,20,29,6.0,,8.1,,7.3,8.2,31390,49630,0.2,1.6,0.12,,0.39,,2,350,2,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,PARADEEP,CREEK,ODISHA,20,32,5.8,,8.4,,7.1,8.2,32160,48750,0.3,1.4,0.14,,0.93,,2,2,2,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441,GOPALPUR,CREEK,ODISHA,11,26,6.5,,8.8,,7.3,8.2,32470,48246,0.2,2.5,0.19,,1.01,,2,330,2,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3961,ATHARABANKI CREEK,CREEK,ODISHA,21,33,3.8,,7.8,,6.8,8.1,896,25710,1.3,4.2,0.14,,2.28,,220,5400,230,9200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4349,"SEA WATER , BAY OF
BENGAL, AFTER
CONFLUENCE OF MARINE
OUTFALL OF M/S.
AUROBINDO PHARMA
LTD. PYDIBHEEMAVARAM
(V) RANASTHALAM (M)",MARINE,"ANDHRA
PRADESH",19,30,4.2,,7.0,,7.3,8.3,30100,62086,1.0,4.0,0.44,,2.88,,4,11,28,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4352,"SEA WAER BAY OF
BENGAL, AFTER
CONFLUENCE OF MARINE
OUTFALL OF M/S MATRIX
LABORATORIES LTD
THAMMAYYAPALEM (V)
PUSAPATIREGA (M)",MARINE,"ANDHRA
PRADESH",25,37,4.5,,7.2,,6.8,8.1,32100,67820,1.2,6.0,0.36,,1.85,,4,11,63,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4371,"SEA WATER, BAY OF
BENGAL AFTER
CONFLUENCE OF RIVER
VASHISTA GODAVARI AT
CHINNAMAINAVANILANKA
(V), NARSAPUR (M)",MARINE,"ANDHRA
PRADESH",25,32,4.5,,8.6,,6.4,8.2,29000,56470,1.2,2.6,0.44,,1.18,,4,9,93,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4378,"SEA WATER, BAY OF
BENGAL, MANGINAPUDI
BEACH, MACHILIPATNAM",MARINE,"ANDHRA
PRADESH",25,28,4.3,,5.7,,7.6,7.9,32850,56150,2.2,3.0,0.72,,2.06,,3,4,150,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4383,"SEA WATER BAY OF
BENGAL, FISHING
HARBOUR,
NIZAMPATNAM",MARINE,"ANDHRA
PRADESH",20,25,3.9,,5.9,,7.4,8.5,14420,57900,2.2,24.0,0.46,,1.32,,3,4,120,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Station
code",Station Name,"Type of
Water Body",State Name,"Temperature
(°C)",,,"Dissolved
Oxygen
(mg/L)",,,pH,,"Conductivity
(µmhos/cm)",,"BOD
(mg/L)",,,"Nitrate N +
Nitrite N
(mg/L)",,,"Fecal Coliform
(MPN/100 ML)",,"Total Coliform
(MPN/100 ML)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Min Max,,Min Max,,,,Min Max,,Min Max,,Min Max,,Min Max,,,,Min Max,,Min Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4385,"SEA WATER, BAY OF
BENGAL, KOTHAPATNAM
BEACH",MARINE,"ANDHRA
PRADESH",25,30,4.6,,6.0,,7.0,8.2,31200,52850,2.3,3.0,0.32,,0.82,,3,10,210,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4386,"SEA WATER, BAY OF
BENGAL, VADAREVU
BEACH, CHIRALA",MARINE,"ANDHRA
PRADESH",23,30,4.3,,5.7,,7.1,8.3,28000,58900,2.2,3.8,0.36,,0.93,,3,4,150,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4387,"SEA WATER, BAY OF
BENGAL,
KRISHNAPATNAM PORT",MARINE,"ANDHRA
PRADESH",18,23,3.8,,6.0,,7.2,8.1,19000,52700,2.0,3.6,0.42,,0.97,,3,4,210,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805,"ARNALA SEA, ARNALA,
VASAI, THANE",MARINE,MAHARASHTRA,24,35,3.2,,7.0,,6.7,8.0,99,60880,3.0,17.0,0.20,,4.50,,23,920,63,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806,"UTTAN SEA, UTTAN,
BHAYANDER, THANE",MARINE,MAHARASHTRA,24,35,BDL,,4.9,,6.9,7.8,231,60750,7.0,50.0,0.60,,4.40,,33,920,140,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807,"NAVAPURA SEA,
NAVAPUR, PALGHAR,
THANE",MARINE,MAHARASHTRA,22,36,BDL,,6.5,,6.5,8.4,160,67400,4.0,470.0,0.80,,9.80,,21,79,70,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808,"SEA WATER AT NARIMAN
POINT, COLABA, MUMBAI",MARINE,MAHARASHTRA,25,32,3.1,,5.1,,6.6,7.7,609,66330,8.0,20.0,0.90,,2.20,,110,17000,430,54000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809,"SEA WATER AT MALABAR
HILL, WALKESHWAR,
MUMBAI",MARINE,MAHARASHTRA,26,32,3.4,,5.4,,6.7,7.6,18470,66680,6.0,15.0,1.10,,1.60,,70,1600,350,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810,"SEA WATER AT HAJI ALI,
WORLI, MUMBAI",MARINE,MAHARASHTRA,25,33,BDL,,4.9,,6.9,7.7,15870,66460,9.0,16.0,0.90,,12.50,,49,1600,540,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2811,"SEA WATER AT SHIVAJI
PARK, DADAR
CHOUPATHY,DADAR,
MUMBAI",MARINE,MAHARASHTRA,26,33,BDL,,6.4,,6.8,7.7,229,64680,4.0,45.0,0.40,,1.80,,49,1600,220,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812,"SEA WATER AT JUHU
BEACH, JUHUGAON,
SANTACRUZ, MUMBAI",MARINE,MAHARASHTRA,24,39,3.8,,7.6,,6.2,8.2,180,65600,3.0,14.0,0.20,,1.60,,33,1600,110,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813,"SEA WATER AT
GANAPATIPULE,
RATNAGIRI, RATNAGIRI",MARINE,MAHARASHTRA,24,30,4.2,,7.1,,6.8,7.9,17780,59320,2.4,11.0,0.09,,3.89,,11,920,220,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814,"SEA WATER AT BHAGWATI
BUNDER NEAR ULTRA
TECH CEMENT JETTY,
MIRKARWADA,
RATNAGIRI, RATNAGIRI",MARINE,MAHARASHTRA,24,30,4.0,,6.9,,7.1,7.9,17260,56120,2.2,14.0,0.06,,4.10,,14,84,210,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815,"MADVI SEA WATER NEAR
JODHALE MARUTI TEMPLE,",MARINE,MAHARASHTRA,24,30,4.3,,6.8,,6.9,8.1,334,57750,2.8,12.0,0.05,,3.20,,9,920,170,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Station
code",Station Name,"Type of
Water Body",State Name,"Temperature
(°C)",,,"Dissolved
Oxygen
(mg/L)",,,pH,,"Conductivity
(µmhos/cm)",,"BOD
(mg/L)",,,"Nitrate N +
Nitrite N
(mg/L)",,,"Fecal Coliform
(MPN/100 ML)",,"Total Coliform
(MPN/100 ML)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Min Max,,Min Max,,,,Min Max,,Min Max,,Min Max,,Min Max,,,,Min Max,,Min Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MADVIGAON, RATNAGIRI,
RATNAGIRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4361,"SEA WATER BAY BENGAL,
UPPADA BEACH ROAD,
KAKINADA",SEA,"ANDHRA
PRADESH",27,34,5.4,,6.6,,6.8,8.2,300,50800,1.6,2.8,0.63,,2.47,,4,20,63,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4362,"SEA WATER, BAY OF
BENGAL NEAR DEEP
WATER PORT, KAKINADA
(1KM AWAY FROM JETTY)",SEA,"ANDHRA
PRADESH",26,34,0.7,,5.8,,6.7,8.1,645,74900,BDL,3.6,0.76,,4.19,,7,15,69,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4363,"SEA WATER BAY OF
BENGAL NEAR
KUMBHABHISHEKAM
TEMPALE, KAKINADA",SEA,"ANDHRA
PRADESH",27,33,1.0,,7.5,,6.9,8.1,14310,61090,1.1,4.6,1.24,,3.10,,7,15,93,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2165,"SEA WATER AT GATEWAY
OF INDIA,COLABA,
MUMBAI",SEA,MAHARASHTRA,25,32,3.2,,5.0,,6.9,7.7,18250,65760,9.0,16.0,0.80,,4.00,,33,1600,540,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2166,"SEA WATER AT CHARNI
ROAD CHOUPATHY,
GIRGAON, MUMBAI",SEA,MAHARASHTRA,25,34,3.2,,4.9,,7.0,7.9,18290,66240,8.0,17.0,0.90,,1.70,,46,1600,210,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2167,"SEA WATER AT WORLI SEA
FACE, WORLI, MUMBAI",SEA,MAHARASHTRA,26,34,3.2,,4.8,,6.9,7.9,18500,66760,9.0,16.0,0.31,,2.00,,49,920,240,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2169,"SEA WATER AT VERSOVA
BEACH, VERSOVA,
ANDHERI, MUMBAI",SEA,MAHARASHTRA,24,39,3.8,,7.2,,6.4,8.2,182,65470,3.0,14.0,0.20,,1.50,,11,1600,40,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Station
code",Station Name,"Type of
Water Body",State Name,"Temperature
(°C)",,,"Dissolved
Oxygen
(mg/L)",,,pH,,"Conductivity
(µmhos/cm)",,"BOD
(mg/L)",,,"Nitrate N +
Nitrite N
(mg/L)",,,"Fecal Coliform
(MPN/100 ML)",,"Total Coliform
(MPN/100 ML)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Min Max,,Min Max,,,,Min Max,,Min Max,,Min Max,,Min Max,,,,Min Max,,Min Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3052,"GUNTATHIPPA DRAIN B/C
WITH RYVES CANAL AT
RAMAVARAPPADU,
KRISHNA, A.P.",DRAIN,"ANDHRA
PRADESH",24,28,5.1,,6.0,,6.9,7.8,1507,2426,4.0,14.2,2.12,,8.40,,3,5,1300,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3053,"TULIA BAGH DRAIN AT
VEMULAVADA, EAST
GODAVARI, A.P.",DRAIN,"ANDHRA
PRADESH",24,31,2.0,,5.3,,6.8,8.4,207,34896,2.0,4.6,0.49,,2.66,,7,45,93,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3067,"OUTLET OF STP ON
GODAVARI,
RAJAHMUNDRY, EAST
GODAVARI, A.P.",DRAIN,"ANDHRA
PRADESH",25,35,5.1,,7.5,,6.5,8.4,173,291,1.4,2.8,0.30,,4.45,,7,20,120,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4373,"GOSTANI RIVER SAMPLE
AFTER CONFLUENCE WITH
M/S DELTA PAPEER MILL
EFFLUENTS, BENDRA,
PALAKODERU (M), BUT
BEFORE CONFLUENCE
WITH YANAMADURRU
DRAIN",DRAIN,"ANDHRA
PRADESH",25,27,BDL,,6.0,,6.8,8.1,695,25600,1.6,44.0,1.72,,7.19,,4,28,120,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,"N-CHOE (ATTAWA CHOE),
CHANDIGARH",DRAIN,CHANDIGARH,16,29,BDL,,0.1,,7.3,7.8,499,865,BDL,141.0,0.60,,8.00,,240,7900000,542,24000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,"PATIALA KI RAO,
CHANDIGARH",DRAIN,CHANDIGARH,16,31,BDL,,BDL,,7.2,7.9,680,1196,58.0,341.0,0.68,,16.00,,172,130000000,220000,542000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,"SUKHNA CHOE,
CHANDIGARH",DRAIN,CHANDIGARH,16,29,BDL,,BDL,,7.2,7.7,586,1251,71.0,230.0,2.10,,73.90,,7000,17200000,21000,54200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1377,"NAJAFGARH DRAIN AT
WAZIRABAD BEFORE
CONF. TO RIV.YAMUNA,
DELHI",DRAIN,DELHI,10,10,,,,,4.0,4.0,,,BDL,BDL,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3861,"SALANI NALLAH NEAR
BRIDGE, NH-7, MOGINAND
KALA AMB",DRAIN,"HIMACHAL
PRADESH",10,28,6.5,,8.9,,6.9,8.2,388,550,0.5,1.5,0.07,,1.70,,14,26,33,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3865,"ROON NALLAH NEAR
MEERPUR KOTLA,
GURUDWARA",DRAIN,"HIMACHAL
PRADESH",14,32,5.0,,8.9,,6.7,8.2,288,568,0.4,1.4,0.02,,1.11,,17,22,31,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3875,"SURAJMUKHI NALLAH U/S
DWSS GALAYANA NEAR
M/S SHOOLINI UNIVERSITY",DRAIN,"HIMACHAL
PRADESH",23,23,5.3,,8.5,,7.0,8.1,177,855,0.3,12.0,0.11,,1.50,,17,40,32,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Station
code",Station Name,"Type of
Water Body",State Name,"Temperature
(°C)",,,"Dissolved
Oxygen
(mg/L)",,,pH,,"Conductivity
(µmhos/cm)",,"BOD
(mg/L)",,,"Nitrate N +
Nitrite N
(mg/L)",,,"Fecal Coliform
(MPN/100 ML)",,"Total Coliform
(MPN/100 ML)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Min Max,,Min Max,,,,Min Max,,Min Max,,Min Max,,Min Max,,,,Min Max,,Min Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3879,"BHATIAN NALLAH U/S
BHATIAN VILLAGE,
NALAGARH",DRAIN,"HIMACHAL
PRADESH",20,28,5.1,,7.2,,6.9,8.3,638,5950,1.9,24.0,0.11,,3.82,,11,170,40,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3880,"BHATIAN NALLAH U/S
SARA TEXTILE, NALAGARH",DRAIN,"HIMACHAL
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3881,"BHATIAN NALLAH D/S
SARA TEXTILE, NALAGARH",DRAIN,"HIMACHAL
PRADESH",19,29,4.1,,8.4,,7.1,8.3,712,6220,2.0,110.0,0.11,,1.58,,13,194,70,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4029,"TAALO NALA (FROM
NAHAR TOWN) AT
KHADDAR KA BAGH B/C
TO RIVER MARKANDA",DRAIN,"HIMACHAL
PRADESH",13,25,5.9,,8.3,,6.7,8.3,271,671,0.3,2.0,0.10,,0.75,,14,32,38,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4034,"SAHU NALLAH U/S BHURI
SINGH SHEP",DRAIN,"HIMACHAL
PRADESH",3,12,8.0,,9.0,,7.2,7.9,120,385,0.1,0.3,0.16,,1.50,,2,4,34,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4035,"SAHU NALLAH D/S BHURI
SINGH SHEP",DRAIN,"HIMACHAL
PRADESH",3,12,8.0,,9.0,,7.1,7.9,133,392,0.1,0.5,0.16,,1.39,,2,4,47,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4425,"RAW WATER FROM AT
CHURAT NALLAH",DRAIN,"HIMACHAL
PRADESH",6,18,7.0,,9.5,,7.4,8.4,101,8920,0.3,1.1,0.23,,1.65,,2,26,34,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4430,"LIFT NALLAH BEFORE
CONFLUENCE TO
ASHWANI KHAD NEAR
DOGRHA BRIDGE",DRAIN,"HIMACHAL
PRADESH",9,28,5.2,,8.4,,7.0,8.3,288,3907,4.8,12.0,0.18,,7.39,,7,1600,540,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4462,"SAINJ NALLAH (U/S SAINJ
WATER SUPPLY SCHEME)",DRAIN,"HIMACHAL
PRADESH",7,22,7.2,,9.1,,8.1,8.3,172,21590,0.3,0.9,0.39,,4.14,,2,14,21,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4463,"DHANESON NALLAH (U/S
SAINJ WATER SUPPLY
SCHEME)",DRAIN,"HIMACHAL
PRADESH",7,21,7.7,,9.5,,7.9,8.3,85,36950,0.5,0.9,0.37,,0.52,,2,9,17,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4474,"NALLAH, HALOG WATER
SUPPLY SCHEME BAG
KHANEREI, HALOG",DRAIN,"HIMACHAL
PRADESH",8,9,9.2,,9.6,,7.7,8.4,99,2537,0.3,0.6,0.19,,0.73,,9,82,63,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4475,"MACHADA NALLAH,
MAJHOUTI WATER SUPPLY
SCHEME NEW NIRSOO,
MAJHOUTI",DRAIN,"HIMACHAL
PRADESH",8,10,9.0,,9.4,,7.3,8.5,119,1388,0.5,0.8,0.20,,0.55,,9,34,110,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4476,"MANALSU NALA (( WATER
SUPPLY SCHEME FOR
MANALI TOWN U/S OF
OLD MANALI THESIL
MANALI DIST KULLU",DRAIN,"HIMACHAL
PRADESH",9,12,8.7,,12.0,,7.5,8.3,46,81,0.1,0.1,,,,,13,33,110,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Station
code",Station Name,"Type of
Water Body",State Name,"Temperature
(°C)",,,"Dissolved
Oxygen
(mg/L)",,,pH,,"Conductivity
(µmhos/cm)",,"BOD
(mg/L)",,,"Nitrate N +
Nitrite N
(mg/L)",,,"Fecal Coliform
(MPN/100 ML)",,"Total Coliform
(MPN/100 ML)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Min Max,,Min Max,,,,Min Max,,Min Max,,Min Max,,Min Max,,,,Min Max,,Min Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4477,"KHALADA NALA WATER
SUPPLY SCHEME KULLU
TOWN TEHSIL KULLU",DRAIN,"HIMACHAL
PRADESH",11,17,7.9,,11.4,,7.2,8.3,99,225,0.1,0.1,,,,,13,21,70,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4480,"SURAJMUKHI NALLAH D/S
STP SAMTI SOLAN",DRAIN,"HIMACHAL
PRADESH",,,5.2,,5.5,,7.6,8.1,588,720,0.4,1.2,,,,,13,20,40,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4481,"HATHLI NALLAH LIFT
WATER SUPPLY SCHEME
FOR MUNICIPAL COUNCIL
HAMIRPUR",DRAIN,"HIMACHAL
PRADESH",11,23,7.5,,8.1,,7.1,8.5,306,416,0.1,0.2,0.11,,0.32,,2,2,40,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4482,"LIFT WATER SUPPLY
SCHEME (PANJARAR) AND
BHOTA ROPARI & UJHAN",DRAIN,"HIMACHAL
PRADESH",12,24,7.4,,8.2,,7.8,8.2,285,2860,0.1,0.1,0.09,,0.09,,2,2,38,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2763,"ASANGI NALLA AT ASANGI
VILLAGE,",DRAIN,KARNATAKA,19,24,4.2,,8.1,,7.5,8.4,192,1400,0.3,2.7,1.01,,13.00,,220,1000,900,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2178,"CHIKHALI NALLAH MEETS
GODAVARI RIVER,
CHIKHALI, NASHIK",DRAIN,MAHARASHTRA,20,36,3.6,,6.1,,7.0,7.9,214,1254,3.0,28.0,0.70,,9.27,,4,17,210,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782,"RABODI NALLAH, RABODI,
THANE",DRAIN,MAHARASHTRA,24,37,BDL,,5.7,,6.7,8.0,165,62120,5.0,210.0,0.30,,2.50,,70,1600,220,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783,"COLOUR CHEMICAL
NALLAH, VILLAGE-
MAJIWADA, THANE",DRAIN,MAHARASHTRA,24,37,BDL,,7.0,,6.4,8.2,169,63040,4.0,150.0,0.80,,3.40,,84,1600,280,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784,"SANDOZ NALLAH,
SANDOZBAUG, THANE",DRAIN,MAHARASHTRA,24,32,BDL,,7.2,,6.5,7.9,143,36300,3.0,160.0,0.40,,5.50,,33,1600,120,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785,"BPT NAVAPUR
(DISCHARGE FROM MIDC
TARAPUR), NAVAPUR,
PALGHAR, THANE",DRAIN,MAHARASHTRA,22,37,BDL,,6.2,,6.3,8.1,93,17720,4.0,1100.0,0.30,,28.70,,13,1600,47,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786,"TARAPUR MIDC NALLA
(NEAR SUMP 1), TARAPUR,
PALGHAR, THANE",DRAIN,MAHARASHTRA,24,29,BDL,,6.5,,6.5,7.2,94,10480,4.0,550.0,0.30,,17.10,,17,41,46,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787,"TARAPUR MIDC NALLA
(NEAR SUMP 2), TARAPUR,
PALGHAR, THANE",DRAIN,MAHARASHTRA,24,29,BDL,,6.8,,6.6,7.1,95,5742,4.0,240.0,0.40,,7.50,,17,27,79,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788,"TARAPUR MIDC NALLA
(NEAR SUMP 3), MIDC
TARAPUR, PALGHAR,
THANE",DRAIN,MAHARASHTRA,24,29,BDL,,6.9,,6.7,7.9,95,7835,4.0,625.0,0.40,,12.00,,5,32,21,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Station
code",Station Name,"Type of
Water Body",State Name,"Temperature
(°C)",,,"Dissolved
Oxygen
(mg/L)",,,pH,,"Conductivity
(µmhos/cm)",,"BOD
(mg/L)",,,"Nitrate N +
Nitrite N
(mg/L)",,,"Fecal Coliform
(MPN/100 ML)",,"Total Coliform
(MPN/100 ML)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Min Max,,Min Max,,,,Min Max,,Min Max,,Min Max,,Min Max,,,,Min Max,,Min Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789,"NALLA AT D/S OF AKLAI
MANDIR, AKLAI,
MALSHIRAS, SOLAPUR",DRAIN,MAHARASHTRA,7,30,2.4,,7.7,,7.3,8.4,3,1426,1.1,8.0,BDL,,30.00,,30,350,550,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
